,Asian,Black,Latin,White,Other,Not High School,Estudios Superiores,Numer_below_pov,Percent_below_poverty,Naturales,Extrangeros,Nacionalizados,No Ciudadano,Menos_10k,15k-20k,20k-25k,25k-30k,30k-35k,35k-40k,45k-50k,50k-60k,60k-75k,75k-100k,100k-125k,125k-150k,150k-200k,Más_200k
60,11848.636363636364,781.6363636363636,8559.181818181818,11343.636363636364,602.9090909090909,19.1454463443638,36.6,4758.0,14.5,28447.0,10608.0,2922.0,7686.0,976.0,787.0,479.0,520.0,668.0,480.0,346.0,1309.0,1095.0,1719.0,1307.0,600.0,726.0,834.0
61,759.2727272727273,11168.363636363636,24316.272727272728,5311.636363636364,405.6363636363636,30.58348442393275,9.3,11251.0,29.1,11975.0,6548.0,3056.0,3492.0,1398.0,1118.0,1207.0,1014.0,582.0,624.0,531.0,894.0,963.0,1267.0,569.0,278.0,345.0,265.0
62,333.90909090909093,237.27272727272728,14716.90909090909,3468.818181818182,62.27272727272727,25.951346655082535,15.5,2135.0,11.5,22715.0,12585.0,4710.0,7875.0,181.0,171.0,723.0,444.0,220.0,122.0,260.0,436.0,596.0,613.0,402.0,318.0,309.0,209.0
63,254.72727272727272,1665.5454545454545,35578.27272727273,1844.0,77.54545454545455,32.609637510229625,8.6,5981.0,17.0,19576.0,4806.0,2686.0,2120.0,513.0,823.0,1039.0,518.0,865.0,492.0,499.0,909.0,749.0,852.0,662.0,402.0,473.0,43.0
64,224.45454545454547,303.45454545454544,11727.0,11765.818181818182,268.6363636363636,12.153660012099214,21.7,1979.0,8.1,21363.0,10799.0,4417.0,6382.0,495.0,474.0,248.0,381.0,502.0,315.0,345.0,797.0,1021.0,885.0,842.0,653.0,444.0,336.0
65,165.72727272727272,1006.2727272727273,25673.18181818182,5539.636363636364,150.8181818181818,28.169747461598543,12.7,5569.0,17.4,38617.0,12626.0,3798.0,8828.0,404.0,286.0,987.0,602.0,505.0,366.0,284.0,702.0,738.0,1207.0,766.0,720.0,514.0,275.0
66,328.54545454545456,26001.636363636364,25385.454545454544,2237.7272727272725,705.7272727272727,25.342358434395663,8.4,11556.0,22.6,24954.0,1204.0,463.0,741.0,1354.0,1472.0,1978.0,1092.0,1295.0,898.0,635.0,1123.0,1593.0,1537.0,721.0,566.0,353.0,231.0
67,19.727272727272727,30329.272727272728,1541.4545454545455,293.90909090909093,416.45454545454544,19.483805668016192,10.8,8064.0,31.0,21304.0,715.0,375.0,340.0,1329.0,1201.0,1319.0,537.0,474.0,582.0,306.0,530.0,696.0,404.0,526.0,132.0,113.0,151.0
68,59.09090909090909,26211.636363636364,619.6363636363636,183.45454545454547,317.6363636363636,23.672771324734555,9.0,9023.0,41.1,29046.0,383.0,288.0,95.0,2391.0,812.0,828.0,643.0,504.0,325.0,422.0,616.0,400.0,374.0,207.0,145.0,54.0,61.0
69,17.545454545454547,31203.454545454544,452.45454545454544,332.0,422.09090909090907,13.544291041015821,19.2,9667.0,33.4,35478.0,7424.0,4130.0,3294.0,2482.0,928.0,1086.0,670.0,684.0,660.0,515.0,669.0,899.0,1012.0,473.0,298.0,289.0,180.0
70,291.3636363636364,20190.272727272728,15212.90909090909,6290.272727272727,665.5454545454545,17.75285807907959,20.2,5687.0,13.4,45362.0,1336.0,438.0,898.0,722.0,521.0,402.0,599.0,422.0,321.0,360.0,1144.0,1577.0,2174.0,1413.0,1044.0,1072.0,446.0
71,109.63636363636364,46325.181818181816,728.5454545454545,272.1818181818182,438.8181818181818,14.969521976259223,15.9,11665.0,25.1,19082.0,735.0,523.0,212.0,2305.0,1295.0,1314.0,940.0,929.0,949.0,552.0,1267.0,1545.0,1405.0,1379.0,458.0,474.0,280.0
72,120.0909090909091,7128.181818181818,1098.6363636363637,11967.09090909091,461.8181818181818,2.4502077661556094,57.2,1229.0,6.3,26721.0,219.0,181.0,38.0,245.0,162.0,109.0,138.0,187.0,196.0,195.0,379.0,530.0,1032.0,826.0,671.0,912.0,1617.0
73,15.363636363636363,26102.727272727272,274.0,254.54545454545453,416.3636363636364,11.449976090537167,26.2,5356.0,20.0,18130.0,710.0,517.0,193.0,1005.0,422.0,459.0,513.0,371.0,367.0,290.0,789.0,993.0,923.0,1160.0,369.0,559.0,155.0
74,286.0,730.2727272727273,1452.0,16151.818181818182,252.9090909090909,4.7125883108542075,40.1,829.0,4.6,19801.0,725.0,442.0,283.0,272.0,115.0,66.0,162.0,167.0,145.0,203.0,407.0,464.0,1122.0,769.0,761.0,1060.0,782.0
75,68.45454545454545,14682.272727272728,706.5454545454545,6664.545454545455,494.09090909090907,6.30040670021369,39.3,2302.0,11.5,5749.0,7536.0,3102.0,4434.0,684.0,298.0,412.0,383.0,450.0,308.0,244.0,386.0,872.0,838.0,861.0,535.0,611.0,535.0
76,1333.0,279.27272727272725,1257.5454545454545,9740.90909090909,431.1818181818182,8.282674772036474,42.3,1430.0,10.8,42328.0,16365.0,8852.0,7513.0,241.0,276.0,518.0,326.0,282.0,128.0,212.0,683.0,720.0,1188.0,575.0,280.0,332.0,167.0
77,6892.727272727273,7937.636363636364,9368.727272727272,30620.272727272728,1954.090909090909,9.169614801467842,57.5,8224.0,14.8,27775.447368421053,6996.8026315789475,3304.2894736842104,3692.5131578947367,2299.0,1126.0,1147.0,1237.0,1482.0,1198.0,1237.0,2202.0,2775.0,3020.0,2472.0,1507.0,2085.0,2208.0
